Project,Bug, Class Line Cov, Class Branch Cov, Method changed, Method Line Cov, Method Branch Cov
Chart,1,85.36,78.51,getLegendItems,100.0,77.78
Chart,3,98.38,99.48,createCopy,100.0,100.0
Chart,5,97.7,100.0,addOrUpdate,100.0,100.0
Chart,7,98.66,100.0,updateBounds,100.0,100.0
Chart,13,100.0,95.83,arrangeFF,100.0,100.0
Chart,21,100.0,100.0,add,100.0,100.0
Chart,21,100.0,100.0,updateBounds,100.0,100.0
Chart,25,95.03,92.22,drawHorizontalItem,98.59,89.47
Chart,25,95.03,92.22,drawVerticalItem,100.0,94.74
Chart,26,94.22,97.06,drawLabel,100.0,100.0
Closure,11,55.05,30.46,visitGetProp,88.89,50.0
Closure,13,100.0,97.5,traverse,100.0,87.5
Closure,19,78.7,88.42,declareNameInScope,83.33,83.33
Closure,21,100.0,100.0,visit,100.0,100.0
Closure,22,100.0,100.0,visit,100.0,100.0
Closure,25,61.11,40.8,traverseNew,75.0,50.0
Closure,31,88.68,79.65,parseInputs,61.04,63.79
Closure,35,61.77,41.75,inferPropertyTypesToMatchConstraint,0.0,0.0
Closure,38,1.83,13.64,addNumber,0.0,0.0
Closure,45,52.0,41.7,<init>,100.0,100.0
Closure,45,52.0,41.7,interpretAssigns,58.62,40.63
Closure,46,100.0,97.22,getLeastSupertype,Method not found in fixed version,Method not found in fixed version
Closure,62,85.92,65.63,format,60.0,45.0
Closure,63,85.92,65.63,format,60.0,45.0
Closure,64,57.84,57.72,call,100.0,100.0
Closure,64,57.84,57.72,toSource,0.0,100.0
Closure,64,57.84,57.72,toSource,0.0,100.0
Closure,64,57.84,57.72,toSource,Method not found in fixed version,Method not found in fixed version
Closure,66,66.11,42.04,visit,88.05,86.9
Closure,83,67.57,41.67,parseArguments,0.0,0.0
Closure,86,87.5,75.48,evaluatesToLocalValue,100.0,100.0
Closure,102,84.36,71.56,process,100.0,100.0
Closure,107,60.84,39.13,createOptions,60.0,44.44
Closure,115,55.99,36.7,canInlineReferenceDirectly,68.18,42.86
Closure,125,56.49,31.8,visitNew,83.33,50.0
Closure,126,54.64,62.69,tryMinimizeExits,69.77,75.0
Lang,7,100.0,97.81,createBigDecimal,100.0,100.0
Lang,7,100.0,97.81,createNumber,100.0,94.44
Lang,10,94.44,94.31,escapeRegex,100.0,100.0
Lang,22,97.74,93.37,greatestCommonDivisor,81.82,71.88
Lang,24,99.47,98.04,isNumber,100.0,96.94
Lang,33,93.28,94.5,toClass,100.0,100.0
Lang,39,98.12,99.01,replaceEach,100.0,100.0
Lang,43,76.07,66.67,appendQuotedString,64.71,50.0
Lang,44,100.0,97.27,createNumber,100.0,96.34
Lang,45,99.29,99.04,abbreviate,100.0,100.0
Lang,51,100.0,100.0,toBoolean,100.0,100.0
Lang,58,100.0,98.57,createNumber,100.0,96.15
Lang,59,100.0,100.0,appendFixedWidthPadRight,100.0,100.0
Lang,63,93.45,91.73,formatPeriod,100.0,100.0
Lang,63,93.45,91.73,reduceAndCorrect,Method not found in fixed version,Method not found in fixed version
Lang,63,93.45,91.73,format,100.0,100.0
Math,2,100.0,100.0,getNumericalMean,100.0,100.0
Math,5,99.02,99.41,reciprocal,100.0,100.0
Math,7,98.43,96.55,acceptStep,100.0,95.45
Math,8,100.0,100.0,sample,100.0,100.0
Math,18,94.65,90.22,encode,100.0,100.0
Math,18,94.65,90.22,isFeasible,100.0,100.0
Math,18,94.65,90.22,decode,100.0,100.0
Math,20,97.82,91.18,repairAndDecode,100.0,25.0
Math,24,99.12,98.65,doOptimize,100.0,100.0
Math,28,100.0,100.0,getPivotRow,100.0,100.0
Math,29,100.0,100.0,ebeDivide,100.0,100.0
Math,29,100.0,100.0,ebeMultiply,100.0,100.0
Math,40,99.24,100.0,doSolve,98.98,100.0
Math,49,100.0,100.0,ebeMultiply,100.0,100.0
Math,49,100.0,100.0,ebeMultiply,100.0,100.0
Math,49,100.0,100.0,ebeDivide,100.0,100.0
Math,49,100.0,100.0,ebeDivide,100.0,100.0
Math,50,95.89,100.0,doSolve,94.12,100.0
Math,53,98.72,99.15,add,100.0,100.0
Math,62,95.45,100.0,optimize,100.0,100.0
Math,62,95.45,100.0,optimize,100.0,100.0
Math,73,100.0,100.0,solve,100.0,100.0
Math,75,98.47,91.67,getPct,100.0,100.0
Math,78,88.54,81.67,evaluateStep,85.42,78.57
Math,80,89.75,86.47,flipIfWarranted,100.0,100.0
Math,81,91.18,87.2,computeShiftIncrement,96.1,89.81
Math,81,91.18,87.2,processGeneralBlock,100.0,100.0
Math,81,91.18,87.2,computeGershgorinCircles,100.0,100.0
Math,82,98.33,94.44,getPivotRow,100.0,83.33
Math,84,100.0,100.0,iterateSimplex,100.0,100.0
Math,85,93.94,100.0,bracket,100.0,100.0
Math,95,100.0,100.0,getInitialDomain,100.0,100.0
Time,7,100.0,100.0,parseInto,100.0,100.0
Time,19,90.83,87.65,getOffsetFromLocal,100.0,100.0
