Project,Bug,Patch,TSSeed,NumberOfTests,NumberOfFailingTests
Chart,1,chart1_100_1_seed6_ExpressionReplace_601.patch,1,88,1
Chart,1,chart1_100_1_seed6_ExpressionReplace_601.patch,2,85,1
Chart,1,chart1_100_1_seed6_ExpressionReplace_601.patch,3,73,0
Chart,1,chart1_100_1_seed6_ExpressionReplace_601.patch,4,82,1
Chart,1,chart1_100_1_seed6_ExpressionReplace_601.patch,5,76,0
Chart,1,chart1_100_1_seed6_ExpressionReplace_601.patch,6,83,1
Chart,1,chart1_100_1_seed6_ExpressionReplace_601.patch,7,82,0
Chart,1,chart1_100_1_seed6_ExpressionReplace_601.patch,8,69,1
Chart,1,chart1_100_1_seed6_ExpressionReplace_601.patch,9,79,1
Chart,1,chart1_100_1_seed6_ExpressionReplace_601.patch,10,77,1
Chart,1,chart1_100_2_seed2_ExpressionReplace_601.patch,1,88,1
Chart,1,chart1_100_2_seed2_ExpressionReplace_601.patch,2,85,0
Chart,1,chart1_100_2_seed2_ExpressionReplace_601.patch,3,73,0
Chart,1,chart1_100_2_seed2_ExpressionReplace_601.patch,4,82,1
Chart,1,chart1_100_2_seed2_ExpressionReplace_601.patch,5,76,0
Chart,1,chart1_100_2_seed2_ExpressionReplace_601.patch,6,83,1
Chart,1,chart1_100_2_seed2_ExpressionReplace_601.patch,7,82,0
Chart,1,chart1_100_2_seed2_ExpressionReplace_601.patch,8,69,1
Chart,1,chart1_100_2_seed2_ExpressionReplace_601.patch,9,79,1
Chart,1,chart1_100_2_seed2_ExpressionReplace_601.patch,10,77,1
Chart,1,chart1_100_3_seed1_ExpressionReplace_601.patch,1,88,1
Chart,1,chart1_100_3_seed1_ExpressionReplace_601.patch,2,85,0
Chart,1,chart1_100_3_seed1_ExpressionReplace_601.patch,3,73,0
Chart,1,chart1_100_3_seed1_ExpressionReplace_601.patch,4,82,1
Chart,1,chart1_100_3_seed1_ExpressionReplace_601.patch,5,76,0
Chart,1,chart1_100_3_seed1_ExpressionReplace_601.patch,6,83,1
Chart,1,chart1_100_3_seed1_ExpressionReplace_601.patch,7,82,0
Chart,1,chart1_100_3_seed1_ExpressionReplace_601.patch,8,69,1
Chart,1,chart1_100_3_seed1_ExpressionReplace_601.patch,9,79,1
Chart,1,chart1_100_3_seed1_ExpressionReplace_601.patch,10,77,1
Chart,1,chart1_100_3_seed4_ExpressionAdd_601.patch,1,88,1
Chart,1,chart1_100_3_seed4_ExpressionAdd_601.patch,2,85,0
Chart,1,chart1_100_3_seed4_ExpressionAdd_601.patch,3,73,0
Chart,1,chart1_100_3_seed4_ExpressionAdd_601.patch,4,82,1
Chart,1,chart1_100_3_seed4_ExpressionAdd_601.patch,5,76,0
Chart,1,chart1_100_3_seed4_ExpressionAdd_601.patch,6,83,1
Chart,1,chart1_100_3_seed4_ExpressionAdd_601.patch,7,82,0
Chart,1,chart1_100_3_seed4_ExpressionAdd_601.patch,8,69,1
Chart,1,chart1_100_3_seed4_ExpressionAdd_601.patch,9,79,1
Chart,1,chart1_100_3_seed4_ExpressionAdd_601.patch,10,77,1
Chart,1,chart1_100_4_seed1_ExpressionReplace_601.patch,1,88,1
Chart,1,chart1_100_4_seed1_ExpressionReplace_601.patch,2,85,0
Chart,1,chart1_100_4_seed1_ExpressionReplace_601.patch,3,73,0
Chart,1,chart1_100_4_seed1_ExpressionReplace_601.patch,4,82,1
Chart,1,chart1_100_4_seed1_ExpressionReplace_601.patch,5,76,0
Chart,1,chart1_100_4_seed1_ExpressionReplace_601.patch,6,83,1
Chart,1,chart1_100_4_seed1_ExpressionReplace_601.patch,7,82,0
Chart,1,chart1_100_4_seed1_ExpressionReplace_601.patch,8,69,1
Chart,1,chart1_100_4_seed1_ExpressionReplace_601.patch,9,79,1
Chart,1,chart1_100_4_seed1_ExpressionReplace_601.patch,10,77,1
Chart,1,chart1_100_5_seed9_ExpressionAdd_601.patch,1,88,1
Chart,1,chart1_100_5_seed9_ExpressionAdd_601.patch,2,85,0
Chart,1,chart1_100_5_seed9_ExpressionAdd_601.patch,3,73,0
Chart,1,chart1_100_5_seed9_ExpressionAdd_601.patch,4,82,1
Chart,1,chart1_100_5_seed9_ExpressionAdd_601.patch,5,76,0
Chart,1,chart1_100_5_seed9_ExpressionAdd_601.patch,6,83,1
Chart,1,chart1_100_5_seed9_ExpressionAdd_601.patch,7,82,0
Chart,1,chart1_100_5_seed9_ExpressionAdd_601.patch,8,69,1
Chart,1,chart1_100_5_seed9_ExpressionAdd_601.patch,9,79,1
Chart,1,chart1_100_5_seed9_ExpressionAdd_601.patch,10,77,1
Chart,1,chart1_20_1_seed1_ExpressionAdd_601.patch,1,88,1
Chart,1,chart1_20_1_seed1_ExpressionAdd_601.patch,2,85,0
Chart,1,chart1_20_1_seed1_ExpressionAdd_601.patch,3,73,0
Chart,1,chart1_20_1_seed1_ExpressionAdd_601.patch,4,82,1
Chart,1,chart1_20_1_seed1_ExpressionAdd_601.patch,5,76,0
Chart,1,chart1_20_1_seed1_ExpressionAdd_601.patch,6,83,1
Chart,1,chart1_20_1_seed1_ExpressionAdd_601.patch,7,82,0
Chart,1,chart1_20_1_seed1_ExpressionAdd_601.patch,8,69,1
Chart,1,chart1_20_1_seed1_ExpressionAdd_601.patch,9,79,1
Chart,1,chart1_20_1_seed1_ExpressionAdd_601.patch,10,77,1
Chart,1,chart1_20_1_seed2_ExpressionReplace_601.patch,1,88,1
Chart,1,chart1_20_1_seed2_ExpressionReplace_601.patch,2,85,0
Chart,1,chart1_20_1_seed2_ExpressionReplace_601.patch,3,73,0
Chart,1,chart1_20_1_seed2_ExpressionReplace_601.patch,4,82,1
Chart,1,chart1_20_1_seed2_ExpressionReplace_601.patch,5,76,0
Chart,1,chart1_20_1_seed2_ExpressionReplace_601.patch,6,83,1
Chart,1,chart1_20_1_seed2_ExpressionReplace_601.patch,7,82,0
Chart,1,chart1_20_1_seed2_ExpressionReplace_601.patch,8,69,1
Chart,1,chart1_20_1_seed2_ExpressionReplace_601.patch,9,79,1
Chart,1,chart1_20_1_seed2_ExpressionReplace_601.patch,10,77,1
Chart,1,chart1_20_2_seed1_ExpressionReplace_601.patch,1,88,1
Chart,1,chart1_20_2_seed1_ExpressionReplace_601.patch,2,85,0
Chart,1,chart1_20_2_seed1_ExpressionReplace_601.patch,3,73,0
Chart,1,chart1_20_2_seed1_ExpressionReplace_601.patch,4,82,1
Chart,1,chart1_20_2_seed1_ExpressionReplace_601.patch,5,76,0
Chart,1,chart1_20_2_seed1_ExpressionReplace_601.patch,6,83,1
Chart,1,chart1_20_2_seed1_ExpressionReplace_601.patch,7,82,0
Chart,1,chart1_20_2_seed1_ExpressionReplace_601.patch,8,69,1
Chart,1,chart1_20_2_seed1_ExpressionReplace_601.patch,9,79,1
Chart,1,chart1_20_2_seed1_ExpressionReplace_601.patch,10,77,1
