Project,Bug,Patch,TSSeed,NumberOfTests,NumberOfFailingTests
Chart,13,chart13_Seed11_ExpressionAdd_226_variant51.patch,1,22,0
Chart,13,chart13_Seed11_ExpressionAdd_226_variant51.patch,2,22,0
Chart,13,chart13_Seed11_ExpressionAdd_226_variant51.patch,3,23,0
Chart,13,chart13_Seed11_ExpressionAdd_226_variant51.patch,4,22,0
Chart,13,chart13_Seed11_ExpressionAdd_226_variant51.patch,5,22,0
Chart,13,chart13_Seed11_ExpressionAdd_226_variant51.patch,6,22,0
Chart,13,chart13_Seed11_ExpressionAdd_226_variant51.patch,7,23,0
Chart,13,chart13_Seed11_ExpressionAdd_226_variant51.patch,8,22,0
Chart,13,chart13_Seed11_ExpressionAdd_226_variant51.patch,9,22,0
Chart,13,chart13_Seed11_ExpressionAdd_226_variant51.patch,10,21,0
Chart,13,chart13_Seed2_ExpressionAdd_232_variant219.patch,1,22,0
Chart,13,chart13_Seed2_ExpressionAdd_232_variant219.patch,2,22,0
Chart,13,chart13_Seed2_ExpressionAdd_232_variant219.patch,3,23,0
Chart,13,chart13_Seed2_ExpressionAdd_232_variant219.patch,4,22,0
Chart,13,chart13_Seed2_ExpressionAdd_232_variant219.patch,5,22,0
Chart,13,chart13_Seed2_ExpressionAdd_232_variant219.patch,6,22,0
Chart,13,chart13_Seed2_ExpressionAdd_232_variant219.patch,7,23,0
Chart,13,chart13_Seed2_ExpressionAdd_232_variant219.patch,8,22,0
Chart,13,chart13_Seed2_ExpressionAdd_232_variant219.patch,9,22,0
Chart,13,chart13_Seed2_ExpressionAdd_232_variant219.patch,10,21,0
Chart,1,chart1_Seed20_ExpressionAdd_601_variant139.patch,1,88,1
Chart,1,chart1_Seed20_ExpressionAdd_601_variant139.patch,2,85,1
Chart,1,chart1_Seed20_ExpressionAdd_601_variant139.patch,3,73,0
Chart,1,chart1_Seed20_ExpressionAdd_601_variant139.patch,4,82,1
Chart,1,chart1_Seed20_ExpressionAdd_601_variant139.patch,5,76,0
Chart,1,chart1_Seed20_ExpressionAdd_601_variant139.patch,6,83,1
Chart,1,chart1_Seed20_ExpressionAdd_601_variant139.patch,7,82,0
Chart,1,chart1_Seed20_ExpressionAdd_601_variant139.patch,8,69,1
Chart,1,chart1_Seed20_ExpressionAdd_601_variant139.patch,9,79,1
Chart,1,chart1_Seed20_ExpressionAdd_601_variant139.patch,10,77,1
Chart,1,chart1_Seed3_ExpressionReplace_601_variant151.patch,1,88,1
Chart,1,chart1_Seed3_ExpressionReplace_601_variant151.patch,2,85,0
Chart,1,chart1_Seed3_ExpressionReplace_601_variant151.patch,3,73,0
Chart,1,chart1_Seed3_ExpressionReplace_601_variant151.patch,4,82,1
Chart,1,chart1_Seed3_ExpressionReplace_601_variant151.patch,5,76,0
Chart,1,chart1_Seed3_ExpressionReplace_601_variant151.patch,6,83,1
Chart,1,chart1_Seed3_ExpressionReplace_601_variant151.patch,7,82,0
