Project,Bug,Patch,TSSeed,NumberOfTests,NumberOfFailingTests
Chart,1,chart1_0.patch,1,67,1
Chart,1,chart1_0.patch,2,73,0
Chart,1,chart1_0.patch,3,71,0
Chart,1,chart1_0.patch,4,78,0
Chart,1,chart1_0.patch,5,73,0
Chart,1,chart1_0.patch,6,67,0
Chart,1,chart1_0.patch,7,73,0
Chart,1,chart1_0.patch,8,73,0
Chart,1,chart1_0.patch,9,71,0
Chart,1,chart1_0.patch,10,67,0
Chart,12,chart12_0.patch,1,25,0
Chart,12,chart12_0.patch,2,26,0
Chart,12,chart12_0.patch,3,25,0
Chart,12,chart12_0.patch,4,23,0
Chart,12,chart12_0.patch,5,25,0
Chart,12,chart12_0.patch,6,27,0
Chart,12,chart12_0.patch,7,26,0
Chart,12,chart12_0.patch,8,26,0
Chart,12,chart12_0.patch,9,26,0
Chart,12,chart12_0.patch,10,26,0
Chart,18,chart18_0.patch,1,22,1
Chart,18,chart18_0.patch,2,20,1
Chart,18,chart18_0.patch,3,20,1
Chart,18,chart18_0.patch,4,22,1
Chart,18,chart18_0.patch,5,21,1
Chart,18,chart18_0.patch,6,21,1
Chart,18,chart18_0.patch,7,21,1
Chart,18,chart18_0.patch,8,22,1
Chart,18,chart18_0.patch,9,23,1
Chart,18,chart18_0.patch,10,20,1
Chart,20,chart20_0.patch,1,6,0
Chart,20,chart20_0.patch,2,6,0
Chart,20,chart20_0.patch,3,7,0
Chart,20,chart20_0.patch,4,7,0
Chart,20,chart20_0.patch,5,7,0
Chart,20,chart20_0.patch,6,8,0
Chart,20,chart20_0.patch,7,7,0
Chart,20,chart20_0.patch,8,7,0
Chart,20,chart20_0.patch,9,7,0
Chart,20,chart20_0.patch,10,6,0
Chart,22,chart22_11.patch,1,22,3
Chart,22,chart22_11.patch,2,21,3
Chart,22,chart22_11.patch,3,22,3
Chart,22,chart22_11.patch,4,20,3
Chart,22,chart22_11.patch,5,22,4
Chart,22,chart22_11.patch,6,21,3
Chart,22,chart22_11.patch,7,23,3
Chart,22,chart22_11.patch,8,22,3
Chart,22,chart22_11.patch,9,20,4
Chart,22,chart22_11.patch,10,20,2
Chart,22,chart22_5.patch,1,22,4
Chart,22,chart22_5.patch,2,21,4
Chart,22,chart22_5.patch,3,22,4
Chart,22,chart22_5.patch,4,20,4
Chart,22,chart22_5.patch,5,22,5
Chart,22,chart22_5.patch,6,21,4
Chart,22,chart22_5.patch,7,23,5
Chart,22,chart22_5.patch,8,22,6
Chart,22,chart22_5.patch,9,20,4
Chart,22,chart22_5.patch,10,20,3
Chart,25,chart25_0.patch,1,36,16
Chart,25,chart25_0.patch,2,22,5
Chart,25,chart25_0.patch,3,23,6
Chart,25,chart25_0.patch,4,14,2
Chart,25,chart25_0.patch,5,11,0
Chart,25,chart25_0.patch,6,20,12
Chart,25,chart25_0.patch,7,20,12
Chart,25,chart25_0.patch,8,17,2
Chart,25,chart25_0.patch,9,19,10
Chart,25,chart25_0.patch,10,14,4
Chart,3,chart3_0.patch,1,54,0
Chart,3,chart3_0.patch,2,55,0
Chart,3,chart3_0.patch,3,53,0
Chart,3,chart3_0.patch,4,54,0
Chart,3,chart3_0.patch,5,54,0
Chart,3,chart3_0.patch,6,54,0
Chart,3,chart3_0.patch,7,55,0
Chart,3,chart3_0.patch,8,54,0
Chart,3,chart3_0.patch,9,52,0
Chart,3,chart3_0.patch,10,52,0
Chart,7,chart7_0.patch,1,26,0
Chart,7,chart7_0.patch,2,25,0
Chart,7,chart7_0.patch,3,21,0
Chart,7,chart7_0.patch,4,21,0
Chart,7,chart7_0.patch,5,27,0
Chart,7,chart7_0.patch,6,24,0
Chart,7,chart7_0.patch,7,22,0
Chart,7,chart7_0.patch,8,24,0
Chart,7,chart7_0.patch,9,24,0
Chart,7,chart7_0.patch,10,25,0
Closure,106,closure106_0.patch,1,51,0
Closure,106,closure106_0.patch,2,49,0
Closure,106,closure106_0.patch,3,49,0
Closure,106,closure106_0.patch,4,53,0
Closure,106,closure106_0.patch,5,52,0
Closure,106,closure106_0.patch,6,52,1
Closure,106,closure106_0.patch,7,55,0
Closure,106,closure106_0.patch,8,51,1
Closure,106,closure106_0.patch,9,51,0
Closure,106,closure106_0.patch,10,51,1
Closure,109,closure109_0.patch,1,17,0
Closure,109,closure109_0.patch,2,19,0
Closure,109,closure109_0.patch,3,21,0
Closure,109,closure109_0.patch,4,26,0
Closure,109,closure109_0.patch,5,18,0
Closure,109,closure109_0.patch,6,20,0
Closure,109,closure109_0.patch,7,21,0
Closure,109,closure109_0.patch,8,20,0
Closure,109,closure109_0.patch,9,23,0
Closure,109,closure109_0.patch,10,17,0
Closure,115,closure115_0.patch,1,10,0
Closure,115,closure115_0.patch,2,11,0
Closure,115,closure115_0.patch,3,10,0
Closure,115,closure115_0.patch,4,18,0
Closure,115,closure115_0.patch,5,11,0
Closure,115,closure115_0.patch,6,10,0
Closure,115,closure115_0.patch,7,8,0
Closure,115,closure115_0.patch,8,13,0
Closure,115,closure115_0.patch,9,9,0
Closure,115,closure115_0.patch,10,8,0
Closure,14,closure14_0.patch,1,34,0
Closure,14,closure14_0.patch,2,32,0
Closure,14,closure14_0.patch,3,35,0
Closure,14,closure14_0.patch,4,30,0
Closure,14,closure14_0.patch,5,35,0
Closure,14,closure14_0.patch,6,34,0
Closure,14,closure14_0.patch,7,33,0
Closure,14,closure14_0.patch,8,29,0
Closure,14,closure14_0.patch,9,35,0
Closure,14,closure14_0.patch,10,24,0
Closure,21,closure21_0.patch,1,13,0
Closure,21,closure21_0.patch,2,10,1
Closure,21,closure21_0.patch,3,6,0
Closure,21,closure21_0.patch,4,5,0
Closure,21,closure21_0.patch,5,4,0
Closure,21,closure21_0.patch,6,4,0
Closure,21,closure21_0.patch,7,8,0
Closure,21,closure21_0.patch,8,7,0
Closure,21,closure21_0.patch,9,3,1
Closure,21,closure21_0.patch,10,6,0
Closure,26,closure26_1.patch,1,0,0
Closure,26,closure26_1.patch,2,6,0
Closure,26,closure26_1.patch,3,6,0
Closure,26,closure26_1.patch,4,15,0
Closure,26,closure26_1.patch,5,6,0
Closure,26,closure26_1.patch,6,7,0
Closure,26,closure26_1.patch,7,6,0
