=================================================
Project : math_13	start : 19/09/02 13:45
Current failed test : org.apache.commons.math3.optimization.fitting.PolynomialFitterTest::testLargeSample | 19/09/02 13:46
Mon Sep 02 14:07:43 EDT 2019 org.apache.commons.math3.optimization.fitting.PolynomialFitter,63
Mon Sep 02 14:08:05 EDT 2019 org.apache.commons.math3.optimization.fitting.PolynomialFitter,64
Mon Sep 02 14:08:07 EDT 2019 Mon Sep 02 14:08:07 EDT 2019 : org.apache.commons.math3.optimization.fitting.PolynomialFitter,65=>Find no block
Mon Sep 02 14:08:08 EDT 2019 org.apache.commons.math3.optimization.fitting.PolynomialFitter,110
Mon Sep 02 14:10:11 EDT 2019 org.apache.commons.math3.analysis.polynomials.PolynomialFunction,69
Mon Sep 02 14:32:36 EDT 2019 org.apache.commons.math3.analysis.polynomials.PolynomialFunction,70
Mon Sep 02 14:32:37 EDT 2019 org.apache.commons.math3.analysis.polynomials.PolynomialFunction,71
Mon Sep 02 14:32:39 EDT 2019 org.apache.commons.math3.analysis.polynomials.PolynomialFunction,72
Mon Sep 02 14:32:41 EDT 2019 org.apache.commons.math3.analysis.polynomials.PolynomialFunction,75
Mon Sep 02 14:32:42 EDT 2019 org.apache.commons.math3.analysis.polynomials.PolynomialFunction,78
Mon Sep 02 14:32:44 EDT 2019 org.apache.commons.math3.analysis.polynomials.PolynomialFunction,79
Mon Sep 02 14:32:46 EDT 2019 Mon Sep 02 14:32:46 EDT 2019 : org.apache.commons.math3.analysis.polynomials.PolynomialFunction,80=>Find no block
Mon Sep 02 14:32:47 EDT 2019 org.apache.commons.math3.analysis.polynomials.PolynomialFunction,94
Mon Sep 02 14:36:56 EDT 2019 Mon Sep 02 14:36:56 EDT 2019 : org.apache.commons.math3.analysis.polynomials.PolynomialFunction,395=>Find no block
Mon Sep 02 14:36:57 EDT 2019 org.apache.commons.math3.analysis.polynomials.PolynomialFunction,130
