=================================================
Project : math_102	start : 19/09/02 13:43
Current failed test : org.apache.commons.math.stat.inference.ChiSquareFactoryTest::testChiSquareLargeTestStatistic | 19/09/02 13:43
Mon Sep 02 13:43:47 EDT 2019 org.apache.commons.math.stat.inference.ChiSquareTestImpl,66
Mon Sep 02 13:50:31 EDT 2019 org.apache.commons.math.stat.inference.ChiSquareTestImpl,70
Mon Sep 02 13:51:06 EDT 2019 org.apache.commons.math.stat.inference.ChiSquareTestImpl,74
Mon Sep 02 13:51:50 EDT 2019 org.apache.commons.math.stat.inference.ChiSquareTestImpl,75
Mon Sep 02 13:58:01 EDT 2019 org.apache.commons.math.stat.inference.ChiSquareTestImpl,76
Mon Sep 02 14:03:59 EDT 2019 org.apache.commons.math.stat.inference.ChiSquareTestImpl,77
Mon Sep 02 14:03:59 EDT 2019 org.apache.commons.math.stat.inference.ChiSquareTestImpl,78
Mon Sep 02 14:04:00 EDT 2019 org.apache.commons.math.stat.inference.ChiSquareTestImpl,80
Mon Sep 02 14:06:37 EDT 2019 org.apache.commons.math.stat.inference.ChiSquareTestImpl,97
Mon Sep 02 14:07:09 EDT 2019 org.apache.commons.math.stat.inference.ChiSquareTestImpl,98
Mon Sep 02 14:07:10 EDT 2019 org.apache.commons.math.stat.inference.ChiSquareTestImpl,350
Mon Sep 02 14:09:36 EDT 2019 org.apache.commons.math.stat.inference.ChiSquareTestImpl,351
Mon Sep 02 14:09:36 EDT 2019 org.apache.commons.math.stat.inference.ChiSquareTestImpl,355
Mon Sep 02 14:11:41 EDT 2019 org.apache.commons.math.stat.inference.ChiSquareTestImpl,367
Mon Sep 02 14:13:51 EDT 2019 org.apache.commons.math.stat.inference.ChiSquareTestImpl,368
Mon Sep 02 14:13:51 EDT 2019 org.apache.commons.math.stat.inference.ChiSquareTestImpl,372
Mon Sep 02 14:15:34 EDT 2019 org.apache.commons.math.distribution.GammaDistributionImpl,72
Mon Sep 02 14:17:46 EDT 2019 org.apache.commons.math.distribution.GammaDistributionImpl,75
Mon Sep 02 14:17:47 EDT 2019 org.apache.commons.math.distribution.GammaDistributionImpl,78
Mon Sep 02 14:19:39 EDT 2019 org.apache.commons.math.distribution.GammaDistributionImpl,122
Mon Sep 02 14:20:01 EDT 2019 org.apache.commons.math.distribution.GammaDistributionImpl,142
Mon Sep 02 14:20:02 EDT 2019 org.apache.commons.math.distribution.ChiSquaredDistributionImpl,82
Mon Sep 02 14:20:09 EDT 2019 org.apache.commons.math.special.Gamma,120
Mon Sep 02 14:20:46 EDT 2019 org.apache.commons.math.special.Gamma,158
Mon Sep 02 14:32:37 EDT 2019 org.apache.commons.math.special.Gamma,160
Mon Sep 02 14:32:38 EDT 2019 org.apache.commons.math.special.Gamma,162
Mon Sep 02 14:32:39 EDT 2019 org.apache.commons.math.special.Gamma,186
Mon Sep 02 14:38:34 EDT 2019 org.apache.commons.math.stat.inference.TestUtils,278
Mon Sep 02 14:38:43 EDT 2019 Mon Sep 02 14:38:43 EDT 2019 : org.apache.commons.math.special.Gamma,40=>Find no block
Mon Sep 02 14:38:44 EDT 2019 Mon Sep 02 14:38:44 EDT 2019 : org.apache.commons.math.special.Gamma,60=>Find no block
Mon Sep 02 14:38:44 EDT 2019 org.apache.commons.math.special.Gamma,90
Mon Sep 02 14:43:44 EDT 2019 org.apache.commons.math.special.Gamma,93
Mon Sep 02 14:48:58 EDT 2019 org.apache.commons.math.special.Gamma,95
Mon Sep 02 14:48:58 EDT 2019 org.apache.commons.math.special.Gamma,96
Mon Sep 02 14:48:59 EDT 2019 org.apache.commons.math.special.Gamma,97
Mon Sep 02 14:48:59 EDT 2019 org.apache.commons.math.special.Gamma,99
Mon Sep 02 14:57:39 EDT 2019 org.apache.commons.math.special.Gamma,101
Mon Sep 02 15:01:52 EDT 2019 org.apache.commons.math.special.Gamma,102
Mon Sep 02 15:01:53 EDT 2019 org.apache.commons.math.special.Gamma,106
Mon Sep 02 15:08:27 EDT 2019 org.apache.commons.math.distribution.AbstractContinuousDistribution,45
Mon Sep 02 15:08:29 EDT 2019 Mon Sep 02 15:08:29 EDT 2019 : org.apache.commons.math.distribution.AbstractContinuousDistribution,46=>Find no block
Mon Sep 02 15:08:30 EDT 2019 org.apache.commons.math.distribution.AbstractDistribution,38
