Project,Bug,Patch,NumberOfTests,NumberOfFailingTests
Chart,5,chart5_seed14_StmtReplace_136_139.patch,292,0
Chart,5,chart5_seed4_StmtReplace_135_139.patch,292,0
Closure,22,closure22_seed12_StmtReplace_38_27.patch,6529,4
Closure,22,closure22_seed1_StmtDelete_41.patch,6529,4
Closure,22,closure22_seed3_StmtDelete_18.patch,6529,3
Closure,22,closure22_seed4_StmtReplace_37_28.patch,6529,4
Closure,22,closure22_seed5_StmtDelete_36.patch,6529,4
Closure,22,closure22_seed6_StmtDelete_38.patch,6529,4
Closure,22,closure22_seed7_StmtDelete_37.patch,6529,4
Closure,22,closure22_seed9_StmtReplace_38_77.patch,6529,4
Closure,86,closure86_seed3_StmtReplace_1247_1059.patch,5374,2
Lang,33,lang33_seed1_StmtReplace_328_27.patch,255,1
Lang,33,lang33_seed20_StmtReplace_328_26.patch,255,1
Lang,33,lang33_seed4_StmtDelete_328.patch,255,1
Lang,33,lang33_seed6_StmtDelete_327.patch,255,1
Lang,44,lang44_seed3_StmtReplace_132_283.patch,20,3
Lang,45,lang45_seed18_StmtAppend_179_176.patch,82,0
Math,24,math24_seed10_StmtDelete_140.patch,16,10
Math,24,math24_seed13_StmtReplace_47_71.patch,16,15
Math,24,math24_seed15_StmtReplace_141_118.patch,16,10
Math,24,math24_seed16_StmtReplace_141_80.patch,16,10
Math,24,math24_seed1_StmtDelete_141.patch,16,10
Math,24,math24_seed2_StmtReplace_141_133.patch,16,10
Math,24,math24_seed3_StmtReplace_47_89.patch,16,15
Math,24,math24_seed4_StmtReplace_47_72.patch,16,15
Math,24,math24_seed5_StmtReplace_47_132.patch,16,15
Math,24,math24_seed6_StmtDelete_48.patch,16,15
Math,24,math24_seed7_StmtReplace_48_78.patch,16,15
Math,24,math24_seed8_StmtDelete_47.patch,16,15
Math,40,math40_seed11_StmtDelete_103.patch,90,34
Math,40,math40_seed12_StmtReplace_102_52.patch,90,22
Math,40,math40_seed16_StmtReplace_102_112.patch,90,16
Math,40,math40_seed19_StmtReplace_103_149.patch,90,18
Math,40,math40_seed1_StmtDelete_102.patch,90,19
Math,40,math40_seed3_StmtDelete_104.patch,90,19
Math,40,math40_seed4_StmtReplace_102_43.patch,90,19
Math,40,math40_seed5_StmtReplace_103_124.patch,90,19
Math,40,math40_seed7_StmtReplace_104_88.patch,90,17
Math,40,math40_seed8_StmtReplace_104_125.patch,90,20
Math,40,math40_seed9_StmtReplace_102_15.patch,90,19
Math,49,math49_seed14_StmtReplace_155_402.patch,35,1
Math,49,math49_seed20_StmtReplace_157_212.patch,35,1
Math,49,math49_seed6_StmtDelete_157.patch,35,1
Math,50,math50_seed11_StmtReplace_58_45.patch,36,0
Math,50,math50_seed17_StmtReplace_58_81.patch,36,1
Math,50,math50_seed1_StmtDelete_58.patch,36,0
Math,50,math50_seed3_StmtReplace_58_59.patch,36,0
Math,50,math50_seed4_StmtReplace_58_66.patch,36,1
Math,50,math50_seed7_StmtDelete_56.patch,36,0
Math,73,math73_seed10_StmtReplace_67_73.patch,214,121
Math,73,math73_seed11_StmtReplace_67_76.patch,214,119
Math,73,math73_seed12_StmtReplace_67_84.patch,214,121
Math,73,math73_seed1_StmtDelete_67.patch,214,121
Math,73,math73_seed2_StmtReplace_67_111.patch,214,121
Math,73,math73_seed4_StmtReplace_67_9.patch,214,121
Math,73,math73_seed5_StmtReplace_67_75.patch,214,121
Math,73,math73_seed7_StmtReplace_67_129.patch,214,121
Math,80,math80_seed10_StmtDelete_461.patch,36,17
Math,80,math80_seed11_StmtDelete_362.patch,36,17
Math,80,math80_seed12_StmtReplace_362_859.patch,36,17
Math,80,math80_seed14_StmtReplace_386_943.patch,36,17
Math,80,math80_seed15_StmtReplace_572_62.patch,36,4
Math,80,math80_seed16_StmtReplace_461_643.patch,36,17
Math,80,math80_seed17_StmtAppend_357_8.patch,36,17
Math,80,math80_seed18_StmtReplace_458_353.patch,36,17
Math,80,math80_seed19_StmtReplace_386_412.patch,36,17
Math,80,math80_seed1_StmtReplace_453_483.patch,36,17
Math,80,math80_seed20_StmtDelete_387.patch,36,17
Math,80,math80_seed2_StmtDelete_458.patch,36,17
Math,80,math80_seed3_StmtReplace_386_938.patch,36,17
Math,80,math80_seed4_StmtReplace_458_62.patch,36,17
Math,80,math80_seed5_StmtReplace_581_60.patch,36,3
Math,80,math80_seed6_StmtReplace_386_39.patch,36,17
Math,80,math80_seed7_StmtDelete_386.patch,36,17
Math,80,math80_seed8_StmtAppend_356_18.patch,36,17
Math,80,math80_seed9_StmtReplace_458_90.patch,36,17
Math,81,math81_seed11_StmtReplace_386_926.patch,35,16
Math,81,math81_seed12_StmtReplace_386_771.patch,35,16
Math,81,math81_seed13_StmtAppend_633_39.patch,35,16
Math,81,math81_seed15_StmtDelete_831.patch,35,0
Math,81,math81_seed16_StmtReplace_416_18.patch,35,16
Math,81,math81_seed17_StmtReplace_487_39.patch,35,16
Math,81,math81_seed18_StmtAppend_730_5.patch,35,16
Math,81,math81_seed19_StmtReplace_655_18.patch,35,16
Math,81,math81_seed1_StmtAppend_743_62.patch,35,16
Math,81,math81_seed20_StmtReplace_502_447.patch,35,16
Math,81,math81_seed2_StmtReplace_385_92.patch,35,16
Math,81,math81_seed3_StmtDelete_361.patch,35,16
Math,81,math81_seed4_StmtReplace_744_39.patch,35,16
Math,81,math81_seed5_StmtDelete_501.patch,35,16
Math,81,math81_seed6_StmtDelete_452.patch,35,16
Math,81,math81_seed7_StmtDelete_504.patch,35,16
Math,81,math81_seed8_StmtReplace_495_8.patch,35,16
Math,81,math81_seed9_StmtReplace_361_865.patch,35,16
Time,19,time19_seed20_StmtReplace_363_364.patch,3853,20
