Project,Bug,Patch,NumberOfTests,NumberOfFailingTests
Chart,5,chart5_Seed19_StmtReplace_135_139.patch,292,0
Chart,5,chart5_Seed7_StmtReplace_136_139.patch,292,0
Lang,24,lang24_Seed14_StmtAppend_525_538.patch,110,1
Lang,33,lang33_Seed13_StmtReplace_329_24.patch,255,1
Lang,33,lang33_Seed14_StmtReplace_328_323.patch,255,1
Lang,33,lang33_Seed1_StmtDelete_327.patch,255,1
Lang,33,lang33_Seed2_StmtDelete_329.patch,255,1
Lang,33,lang33_Seed3_StmtReplace_328_26.patch,255,1
Lang,33,lang33_Seed5_StmtDelete_328.patch,255,1
Lang,43,lang43_Seed11_StmtAppend_29_139.patch,7,0
Lang,43,lang43_Seed12_StmtAppend_29_182.patch,7,0
Lang,43,lang43_Seed15_StmtReplace_188_9.patch,7,1
Lang,43,lang43_Seed1_StmtDelete_189.patch,7,1
Lang,43,lang43_Seed20_StmtReplace_189_33.patch,7,1
Lang,43,lang43_Seed4_StmtDelete_188.patch,7,1
Math,50,math50_Seed11_StmtReplace_58_71.patch,36,1
Math,50,math50_Seed16_StmtDelete_56.patch,36,0
Math,50,math50_Seed17_StmtReplace_58_81.patch,36,1
Math,50,math50_Seed1_StmtDelete_57.patch,36,0
Math,50,math50_Seed20_StmtAppend_57_45.patch,36,0
Math,50,math50_Seed2_StmtDelete_58.patch,36,0
Math,50,math50_Seed4_StmtReplace_57_71.patch,36,1
Math,50,math50_Seed8_StmtReplace_58_53.patch,36,0
Math,53,math53_Seed4_StmtAppend_27_106.patch,179,0
Math,81,math81_Seed11_StmtReplace_749_750.patch,35,0
Math,81,math81_Seed14_StmtReplace_831_648.patch,35,0
Math,81,math81_Seed16_StmtReplace_833_522.patch,35,0
Math,81,math81_Seed2_StmtDelete_831.patch,35,0
Math,81,math81_Seed5_StmtDelete_832.patch,35,0
Math,81,math81_Seed7_StmtReplace_833_817.patch,35,0
