Project,Bug,Patch,TSSeed,NumberOfTests,NumberOfFailingTests
Chart,26,chart26_13_0_neg_pos_Chart26Seed12_StmtReplace_284_137.patch,1,64,0
Chart,26,chart26_13_0_neg_pos_Chart26Seed12_StmtReplace_284_137.patch,2,60,0
Chart,26,chart26_13_0_neg_pos_Chart26Seed12_StmtReplace_284_137.patch,3,62,2
Chart,26,chart26_13_0_neg_pos_Chart26Seed12_StmtReplace_284_137.patch,4,59,0
Chart,26,chart26_13_0_neg_pos_Chart26Seed12_StmtReplace_284_137.patch,5,67,1
Chart,26,chart26_13_0_neg_pos_Chart26Seed12_StmtReplace_284_137.patch,6,62,0
Chart,26,chart26_13_0_neg_pos_Chart26Seed12_StmtReplace_284_137.patch,7,62,0
Chart,26,chart26_13_0_neg_pos_Chart26Seed12_StmtReplace_284_137.patch,8,66,0
Chart,26,chart26_13_0_neg_pos_Chart26Seed12_StmtReplace_284_137.patch,9,43,0
Chart,26,chart26_13_0_neg_pos_Chart26Seed12_StmtReplace_284_137.patch,10,62,0
Chart,26,chart26_13_0_neg_pos_Chart26Seed13_StmtReplace_283_52.patch,1,64,0
Chart,26,chart26_13_0_neg_pos_Chart26Seed13_StmtReplace_283_52.patch,2,60,0
Chart,26,chart26_13_0_neg_pos_Chart26Seed13_StmtReplace_283_52.patch,3,62,2
Chart,26,chart26_13_0_neg_pos_Chart26Seed13_StmtReplace_283_52.patch,4,59,0
Chart,26,chart26_13_0_neg_pos_Chart26Seed13_StmtReplace_283_52.patch,5,67,1
Chart,26,chart26_13_0_neg_pos_Chart26Seed13_StmtReplace_283_52.patch,6,62,0
Chart,26,chart26_13_0_neg_pos_Chart26Seed13_StmtReplace_283_52.patch,7,62,0
Chart,26,chart26_13_0_neg_pos_Chart26Seed13_StmtReplace_283_52.patch,8,66,0
Chart,26,chart26_13_0_neg_pos_Chart26Seed13_StmtReplace_283_52.patch,9,43,0
Chart,26,chart26_13_0_neg_pos_Chart26Seed13_StmtReplace_283_52.patch,10,62,0
Chart,26,chart26_13_0_neg_pos_Chart26Seed14_StmtReplace_283_10.patch,1,64,0
Chart,26,chart26_13_0_neg_pos_Chart26Seed14_StmtReplace_283_10.patch,2,60,0
Chart,26,chart26_13_0_neg_pos_Chart26Seed14_StmtReplace_283_10.patch,3,62,2
Chart,26,chart26_13_0_neg_pos_Chart26Seed14_StmtReplace_283_10.patch,4,59,0
Chart,26,chart26_13_0_neg_pos_Chart26Seed14_StmtReplace_283_10.patch,5,67,1
Chart,26,chart26_13_0_neg_pos_Chart26Seed14_StmtReplace_283_10.patch,6,62,0
Chart,26,chart26_13_0_neg_pos_Chart26Seed14_StmtReplace_283_10.patch,7,62,0
Chart,26,chart26_13_0_neg_pos_Chart26Seed14_StmtReplace_283_10.patch,8,66,0
Chart,26,chart26_13_0_neg_pos_Chart26Seed14_StmtReplace_283_10.patch,9,43,0
Chart,26,chart26_13_0_neg_pos_Chart26Seed14_StmtReplace_283_10.patch,10,62,0
Chart,26,chart26_13_0_neg_pos_Chart26Seed15_StmtReplace_235_38.patch,1,64,0
Chart,26,chart26_13_0_neg_pos_Chart26Seed15_StmtReplace_235_38.patch,2,60,0
Chart,26,chart26_13_0_neg_pos_Chart26Seed15_StmtReplace_235_38.patch,3,62,2
Chart,26,chart26_13_0_neg_pos_Chart26Seed15_StmtReplace_235_38.patch,4,59,0
Chart,26,chart26_13_0_neg_pos_Chart26Seed15_StmtReplace_235_38.patch,5,67,1
Chart,26,chart26_13_0_neg_pos_Chart26Seed15_StmtReplace_235_38.patch,6,62,2
Chart,26,chart26_13_0_neg_pos_Chart26Seed15_StmtReplace_235_38.patch,7,62,0
