Project,Bug,Patch,TSSeed,NumberOfTests,NumberOfFailingTests
Chart,22,chart22_6_0_5.patch,1,24,5
Chart,22,chart22_6_0_5.patch,2,24,3
Chart,22,chart22_6_0_5.patch,3,22,6
Chart,22,chart22_6_0_5.patch,4,24,4
Chart,22,chart22_6_0_5.patch,5,23,5
Chart,22,chart22_6_0_5.patch,6,22,4
Chart,22,chart22_6_0_5.patch,7,25,4
Chart,22,chart22_6_0_5.patch,8,24,5
Chart,22,chart22_6_0_5.patch,9,24,4
Chart,22,chart22_6_0_5.patch,10,23,4
Chart,22,chart22_6_0_9.patch,1,24,5
Chart,22,chart22_6_0_9.patch,2,24,6
Chart,22,chart22_6_0_9.patch,3,22,6
Chart,22,chart22_6_0_9.patch,4,24,6
Chart,22,chart22_6_0_9.patch,5,23,6
Chart,22,chart22_6_0_9.patch,6,22,6
Chart,22,chart22_6_0_9.patch,7,25,3
Chart,22,chart22_6_0_9.patch,8,24,6
Chart,22,chart22_6_0_9.patch,9,24,7
Chart,22,chart22_6_0_9.patch,10,23,6
Closure,115,closure115_1_0_0.patch,1,11,0
Closure,115,closure115_1_0_0.patch,2,8,0
Closure,115,closure115_1_0_0.patch,3,12,0
Closure,115,closure115_1_0_0.patch,4,7,0
Closure,115,closure115_1_0_0.patch,5,11,0
Closure,115,closure115_1_0_0.patch,6,10,0
Closure,115,closure115_1_0_0.patch,7,7,0
Closure,115,closure115_1_0_0.patch,8,9,0
Closure,115,closure115_1_0_0.patch,9,9,0
Closure,115,closure115_1_0_0.patch,10,9,0
Closure,115,closure115_1_1_0.patch,1,11,0
Closure,115,closure115_1_1_0.patch,2,8,0
Closure,115,closure115_1_1_0.patch,3,12,0
Closure,115,closure115_1_1_0.patch,4,7,0
Closure,115,closure115_1_1_0.patch,5,11,0
Closure,115,closure115_1_1_0.patch,6,10,0
Closure,115,closure115_1_1_0.patch,7,7,0
Closure,115,closure115_1_1_0.patch,8,9,0
Closure,115,closure115_1_1_0.patch,9,9,0
Closure,115,closure115_1_1_0.patch,10,9,0
Closure,115,closure115_1_2_0.patch,1,11,0
Closure,115,closure115_1_2_0.patch,2,8,0
Closure,115,closure115_1_2_0.patch,3,12,0
Closure,115,closure115_1_2_0.patch,4,7,0
Closure,115,closure115_1_2_0.patch,5,11,0
Closure,115,closure115_1_2_0.patch,6,10,0
Closure,115,closure115_1_2_0.patch,7,7,0
Closure,115,closure115_1_2_0.patch,8,9,0
Closure,115,closure115_1_2_0.patch,9,9,0
Closure,115,closure115_1_2_0.patch,10,9,0
Closure,115,closure115_1_4_0.patch,1,11,0
Closure,115,closure115_1_4_0.patch,2,8,0
Closure,115,closure115_1_4_0.patch,3,12,0
Closure,115,closure115_1_4_0.patch,4,7,0
Closure,115,closure115_1_4_0.patch,5,11,0
Closure,115,closure115_1_4_0.patch,6,10,0
Closure,115,closure115_1_4_0.patch,7,7,0
Closure,115,closure115_1_4_0.patch,8,9,0
Closure,115,closure115_1_4_0.patch,9,9,0
Closure,115,closure115_1_4_0.patch,10,9,0
Closure,115,closure115_2_0_0.patch,1,11,0
Closure,115,closure115_2_0_0.patch,2,8,0
Closure,115,closure115_2_0_0.patch,3,12,0
Closure,115,closure115_2_0_0.patch,4,7,0
Closure,115,closure115_2_0_0.patch,5,11,0
Closure,115,closure115_2_0_0.patch,6,10,0
Closure,115,closure115_2_0_0.patch,7,7,0
Closure,115,closure115_2_0_0.patch,8,9,0
Closure,115,closure115_2_0_0.patch,9,9,0
Closure,115,closure115_2_0_0.patch,10,9,0
Closure,115,closure115_2_0_1.patch,1,11,0
Closure,115,closure115_2_0_1.patch,2,8,0
Closure,115,closure115_2_0_1.patch,3,12,0
Closure,115,closure115_2_0_1.patch,4,7,0
Closure,115,closure115_2_0_1.patch,5,11,0
Closure,115,closure115_2_0_1.patch,6,10,0
Closure,115,closure115_2_0_1.patch,7,7,0
Closure,115,closure115_2_0_1.patch,8,9,0
Closure,115,closure115_2_0_1.patch,9,9,0
Closure,115,closure115_2_0_1.patch,10,9,0
Closure,115,closure115_2_1_0.patch,1,11,0
Closure,115,closure115_2_1_0.patch,2,8,0
Closure,115,closure115_2_1_0.patch,3,12,0
Closure,115,closure115_2_1_0.patch,4,7,0
Closure,115,closure115_2_1_0.patch,5,11,0
Closure,115,closure115_2_1_0.patch,6,10,0
Closure,115,closure115_2_1_0.patch,7,7,0
Closure,115,closure115_2_1_0.patch,8,9,0
Closure,115,closure115_2_1_0.patch,9,9,0
Closure,115,closure115_2_1_0.patch,10,9,0
Closure,115,closure115_4_0_0.patch,1,11,0
Closure,115,closure115_4_0_0.patch,2,8,0
Closure,115,closure115_4_0_0.patch,3,12,0
Closure,115,closure115_4_0_0.patch,4,7,0
Closure,115,closure115_4_0_0.patch,5,11,0
