Project,Bug,Patch,TSSeed,NumberOfTests,NumberOfFailingTests
Chart,13,chart13_Seed11_ExpressionAdd_226_variant51.patch,1,28,0
Chart,13,chart13_Seed11_ExpressionAdd_226_variant51.patch,2,28,0
Chart,13,chart13_Seed11_ExpressionAdd_226_variant51.patch,3,28,0
Chart,13,chart13_Seed11_ExpressionAdd_226_variant51.patch,4,28,0
Chart,13,chart13_Seed11_ExpressionAdd_226_variant51.patch,5,28,0
Chart,13,chart13_Seed11_ExpressionAdd_226_variant51.patch,6,28,0
Chart,13,chart13_Seed11_ExpressionAdd_226_variant51.patch,7,29,1
Chart,13,chart13_Seed11_ExpressionAdd_226_variant51.patch,8,29,0
Chart,13,chart13_Seed11_ExpressionAdd_226_variant51.patch,9,28,1
Chart,13,chart13_Seed11_ExpressionAdd_226_variant51.patch,10,29,0
Chart,13,chart13_Seed2_ExpressionAdd_232_variant219.patch,1,28,1
Chart,13,chart13_Seed2_ExpressionAdd_232_variant219.patch,2,28,1
Chart,13,chart13_Seed2_ExpressionAdd_232_variant219.patch,3,28,1
Chart,13,chart13_Seed2_ExpressionAdd_232_variant219.patch,4,28,1
Chart,13,chart13_Seed2_ExpressionAdd_232_variant219.patch,5,28,0
Chart,13,chart13_Seed2_ExpressionAdd_232_variant219.patch,6,28,0
Chart,13,chart13_Seed2_ExpressionAdd_232_variant219.patch,7,29,0
Chart,13,chart13_Seed2_ExpressionAdd_232_variant219.patch,8,29,1
Chart,13,chart13_Seed2_ExpressionAdd_232_variant219.patch,9,28,0
Chart,13,chart13_Seed2_ExpressionAdd_232_variant219.patch,10,29,0
Chart,1,chart1_Seed20_ExpressionAdd_601_variant139.patch,1,67,1
Chart,1,chart1_Seed20_ExpressionAdd_601_variant139.patch,2,73,1
Chart,1,chart1_Seed20_ExpressionAdd_601_variant139.patch,3,71,1
Chart,1,chart1_Seed20_ExpressionAdd_601_variant139.patch,4,78,1
Chart,1,chart1_Seed20_ExpressionAdd_601_variant139.patch,5,73,1
Chart,1,chart1_Seed20_ExpressionAdd_601_variant139.patch,6,67,1
Chart,1,chart1_Seed20_ExpressionAdd_601_variant139.patch,7,73,1
Chart,1,chart1_Seed20_ExpressionAdd_601_variant139.patch,8,73,1
Chart,1,chart1_Seed20_ExpressionAdd_601_variant139.patch,9,71,1
Chart,1,chart1_Seed20_ExpressionAdd_601_variant139.patch,10,67,0
Chart,1,chart1_Seed3_ExpressionReplace_601_variant151.patch,1,67,0
Chart,1,chart1_Seed3_ExpressionReplace_601_variant151.patch,2,73,1
Chart,1,chart1_Seed3_ExpressionReplace_601_variant151.patch,3,71,1
Chart,1,chart1_Seed3_ExpressionReplace_601_variant151.patch,4,78,1
Chart,1,chart1_Seed3_ExpressionReplace_601_variant151.patch,5,73,1
Chart,1,chart1_Seed3_ExpressionReplace_601_variant151.patch,6,67,1
Chart,1,chart1_Seed3_ExpressionReplace_601_variant151.patch,7,73,1
Chart,1,chart1_Seed3_ExpressionReplace_601_variant151.patch,8,73,1
Chart,1,chart1_Seed3_ExpressionReplace_601_variant151.patch,9,71,1
Chart,1,chart1_Seed3_ExpressionReplace_601_variant151.patch,10,67,0
Chart,7,chart7_Seed13_ParameterReplacer_64_variant48.patch,1,26,0
Chart,7,chart7_Seed13_ParameterReplacer_64_variant48.patch,2,25,0
Chart,7,chart7_Seed13_ParameterReplacer_64_variant48.patch,3,21,0
Chart,7,chart7_Seed13_ParameterReplacer_64_variant48.patch,4,21,0
Chart,7,chart7_Seed13_ParameterReplacer_64_variant48.patch,5,27,0
Chart,7,chart7_Seed13_ParameterReplacer_64_variant48.patch,6,24,0
Chart,7,chart7_Seed13_ParameterReplacer_64_variant48.patch,7,22,0
Chart,7,chart7_Seed13_ParameterReplacer_64_variant48.patch,8,24,0
Chart,7,chart7_Seed13_ParameterReplacer_64_variant48.patch,9,24,0
Chart,7,chart7_Seed13_ParameterReplacer_64_variant48.patch,10,25,0
Chart,7,chart7_Seed15_ParameterReplacer_57_variant12.patch,1,26,0
Chart,7,chart7_Seed15_ParameterReplacer_57_variant12.patch,2,25,0
Chart,7,chart7_Seed15_ParameterReplacer_57_variant12.patch,3,21,0
Chart,7,chart7_Seed15_ParameterReplacer_57_variant12.patch,4,21,0
Chart,7,chart7_Seed15_ParameterReplacer_57_variant12.patch,5,27,0
Chart,7,chart7_Seed15_ParameterReplacer_57_variant12.patch,6,24,0
