Project,Bug,Patch,TSSeed,NumberOfTests,NumberOfFailingTests
Chart,13,chart13_Seed10_d_227.patch,1,22,0
Chart,13,chart13_Seed10_d_227.patch,2,22,0
Chart,13,chart13_Seed10_d_227.patch,3,23,0
Chart,13,chart13_Seed10_d_227.patch,4,22,0
Chart,13,chart13_Seed10_d_227.patch,5,22,0
Chart,13,chart13_Seed10_d_227.patch,6,22,0
Chart,13,chart13_Seed10_d_227.patch,7,23,0
Chart,13,chart13_Seed10_d_227.patch,8,22,0
Chart,13,chart13_Seed10_d_227.patch,9,22,0
Chart,13,chart13_Seed10_d_227.patch,10,21,0
Chart,13,chart13_Seed19_r_227_263.patch,1,22,0
Chart,13,chart13_Seed19_r_227_263.patch,2,22,0
Chart,13,chart13_Seed19_r_227_263.patch,3,23,0
Chart,13,chart13_Seed19_r_227_263.patch,4,22,0
Chart,13,chart13_Seed19_r_227_263.patch,5,22,0
Chart,13,chart13_Seed19_r_227_263.patch,6,22,0
Chart,13,chart13_Seed19_r_227_263.patch,7,23,0
Chart,13,chart13_Seed19_r_227_263.patch,8,22,0
Chart,13,chart13_Seed19_r_227_263.patch,9,22,0
Chart,13,chart13_Seed19_r_227_263.patch,10,21,0
Chart,13,chart13_Seed1_d_233.patch,1,22,0
Chart,13,chart13_Seed1_d_233.patch,2,22,0
Chart,13,chart13_Seed1_d_233.patch,3,23,0
Chart,13,chart13_Seed1_d_233.patch,4,22,0
Chart,13,chart13_Seed1_d_233.patch,5,22,0
Chart,13,chart13_Seed1_d_233.patch,6,22,0
Chart,13,chart13_Seed1_d_233.patch,7,23,0
Chart,13,chart13_Seed1_d_233.patch,8,22,0
Chart,13,chart13_Seed1_d_233.patch,9,22,0
Chart,13,chart13_Seed1_d_233.patch,10,21,0
Chart,13,chart13_Seed20_a_225_263.patch,1,22,0
Chart,13,chart13_Seed20_a_225_263.patch,2,22,0
Chart,13,chart13_Seed20_a_225_263.patch,3,23,0
Chart,13,chart13_Seed20_a_225_263.patch,4,22,0
Chart,13,chart13_Seed20_a_225_263.patch,5,22,0
Chart,13,chart13_Seed20_a_225_263.patch,6,22,0
Chart,13,chart13_Seed20_a_225_263.patch,7,23,0
Chart,13,chart13_Seed20_a_225_263.patch,8,22,0
Chart,13,chart13_Seed20_a_225_263.patch,9,22,0
Chart,13,chart13_Seed20_a_225_263.patch,10,21,0
Chart,13,chart13_Seed2_d_226.patch,1,22,0
Chart,13,chart13_Seed2_d_226.patch,2,22,0
Chart,13,chart13_Seed2_d_226.patch,3,23,0
Chart,13,chart13_Seed2_d_226.patch,4,22,0
Chart,13,chart13_Seed2_d_226.patch,5,22,0
Chart,13,chart13_Seed2_d_226.patch,6,22,0
Chart,13,chart13_Seed2_d_226.patch,7,23,0
Chart,13,chart13_Seed2_d_226.patch,8,22,0
Chart,13,chart13_Seed2_d_226.patch,9,22,0
Chart,13,chart13_Seed2_d_226.patch,10,21,0
Chart,13,chart13_Seed7_r_232_263.patch,1,22,0
Chart,13,chart13_Seed7_r_232_263.patch,2,22,0
Chart,13,chart13_Seed7_r_232_263.patch,3,23,0
Chart,13,chart13_Seed7_r_232_263.patch,4,22,0
Chart,13,chart13_Seed7_r_232_263.patch,5,22,0
Chart,13,chart13_Seed7_r_232_263.patch,6,22,0
Chart,13,chart13_Seed7_r_232_263.patch,7,23,0
Chart,13,chart13_Seed7_r_232_263.patch,8,22,0
Chart,13,chart13_Seed7_r_232_263.patch,9,22,0
Chart,13,chart13_Seed7_r_232_263.patch,10,21,0
Chart,13,chart13_Seed9_a_214_264.patch,1,22,0
Chart,13,chart13_Seed9_a_214_264.patch,2,22,0
Chart,13,chart13_Seed9_a_214_264.patch,3,23,0
Chart,13,chart13_Seed9_a_214_264.patch,4,22,0
Chart,13,chart13_Seed9_a_214_264.patch,5,22,0
Chart,13,chart13_Seed9_a_214_264.patch,6,22,0
Chart,13,chart13_Seed9_a_214_264.patch,7,23,0
Chart,13,chart13_Seed9_a_214_264.patch,8,22,0
Chart,13,chart13_Seed9_a_214_264.patch,9,22,0
Chart,13,chart13_Seed9_a_214_264.patch,10,21,0
Chart,1,chart1_Seed1_d_603.patch,1,88,1
Chart,1,chart1_Seed1_d_603.patch,2,85,0
Chart,1,chart1_Seed1_d_603.patch,3,73,0
Chart,1,chart1_Seed1_d_603.patch,4,82,1
Chart,1,chart1_Seed1_d_603.patch,5,76,0
Chart,1,chart1_Seed1_d_603.patch,6,83,1
Chart,1,chart1_Seed1_d_603.patch,7,82,0
Chart,1,chart1_Seed1_d_603.patch,8,69,1
Chart,1,chart1_Seed1_d_603.patch,9,79,1
Chart,1,chart1_Seed1_d_603.patch,10,77,1
Chart,1,chart1_Seed5_r_603_12.patch,1,88,1
Chart,1,chart1_Seed5_r_603_12.patch,2,85,0
Chart,1,chart1_Seed5_r_603_12.patch,3,73,0
Chart,1,chart1_Seed5_r_603_12.patch,4,82,1
Chart,1,chart1_Seed5_r_603_12.patch,5,76,0
Chart,1,chart1_Seed5_r_603_12.patch,6,83,1
Chart,1,chart1_Seed5_r_603_12.patch,7,82,0
Chart,1,chart1_Seed5_r_603_12.patch,8,69,1
Chart,1,chart1_Seed5_r_603_12.patch,9,79,1
Chart,1,chart1_Seed5_r_603_12.patch,10,77,1
Chart,1,chart1_Seed7_d_601.patch,1,88,1
Chart,1,chart1_Seed7_d_601.patch,2,85,0
Chart,1,chart1_Seed7_d_601.patch,3,73,0
Chart,1,chart1_Seed7_d_601.patch,4,82,1
Chart,1,chart1_Seed7_d_601.patch,5,76,0
Chart,1,chart1_Seed7_d_601.patch,6,83,1
Chart,1,chart1_Seed7_d_601.patch,7,82,0
Chart,1,chart1_Seed7_d_601.patch,8,69,1
Chart,1,chart1_Seed7_d_601.patch,9,79,1
Chart,1,chart1_Seed7_d_601.patch,10,77,1
Chart,1,chart1_Seed9_d_602.patch,1,88,1
Chart,1,chart1_Seed9_d_602.patch,2,85,0
Chart,1,chart1_Seed9_d_602.patch,3,73,0
Chart,1,chart1_Seed9_d_602.patch,4,82,1
Chart,1,chart1_Seed9_d_602.patch,5,76,0
Chart,1,chart1_Seed9_d_602.patch,6,83,1
Chart,1,chart1_Seed9_d_602.patch,7,82,0
Chart,1,chart1_Seed9_d_602.patch,8,69,1
Chart,1,chart1_Seed9_d_602.patch,9,79,1
Chart,1,chart1_Seed9_d_602.patch,10,77,1
Chart,21,chart21_Seed16_a_48_38.patch,1,50,9
Chart,21,chart21_Seed16_a_48_38.patch,2,49,4
Chart,21,chart21_Seed16_a_48_38.patch,3,52,1
Chart,21,chart21_Seed16_a_48_38.patch,4,55,1
Chart,21,chart21_Seed16_a_48_38.patch,5,52,1
Chart,21,chart21_Seed16_a_48_38.patch,6,55,0
Chart,21,chart21_Seed16_a_48_38.patch,7,52,10
Chart,21,chart21_Seed16_a_48_38.patch,8,50,2
Chart,21,chart21_Seed16_a_48_38.patch,9,53,11
Chart,21,chart21_Seed16_a_48_38.patch,10,51,0
Chart,25,chart25_Seed15_r_20_172.patch,1,10,1
Chart,25,chart25_Seed15_r_20_172.patch,2,27,5
Chart,25,chart25_Seed15_r_20_172.patch,3,21,2
Chart,25,chart25_Seed15_r_20_172.patch,4,10,1
Chart,25,chart25_Seed15_r_20_172.patch,5,26,5
Chart,25,chart25_Seed15_r_20_172.patch,6,18,3
Chart,25,chart25_Seed15_r_20_172.patch,7,10,0
Chart,25,chart25_Seed15_r_20_172.patch,8,13,2
Chart,25,chart25_Seed15_r_20_172.patch,9,9,0
Chart,25,chart25_Seed15_r_20_172.patch,10,17,1
Chart,25,chart25_Seed1_r_21_23.patch,1,10,1
Chart,25,chart25_Seed1_r_21_23.patch,2,27,9
Chart,25,chart25_Seed1_r_21_23.patch,3,21,5
Chart,25,chart25_Seed1_r_21_23.patch,4,10,1
Chart,25,chart25_Seed1_r_21_23.patch,5,26,5
Chart,25,chart25_Seed1_r_21_23.patch,6,18,4
Chart,25,chart25_Seed1_r_21_23.patch,7,10,2
Chart,25,chart25_Seed1_r_21_23.patch,8,13,2
Chart,25,chart25_Seed1_r_21_23.patch,9,9,2
Chart,25,chart25_Seed1_r_21_23.patch,10,17,1
Chart,25,chart25_Seed2_d_20.patch,1,10,1
Chart,25,chart25_Seed2_d_20.patch,2,27,9
Chart,25,chart25_Seed2_d_20.patch,3,21,5
Chart,25,chart25_Seed2_d_20.patch,4,10,1
Chart,25,chart25_Seed2_d_20.patch,5,26,5
Chart,25,chart25_Seed2_d_20.patch,6,18,4
Chart,25,chart25_Seed2_d_20.patch,7,10,2
Chart,25,chart25_Seed2_d_20.patch,8,13,2
Chart,25,chart25_Seed2_d_20.patch,9,9,2
Chart,25,chart25_Seed2_d_20.patch,10,17,1
Chart,25,chart25_Seed3_r_20_15.patch,1,10,1
Chart,25,chart25_Seed3_r_20_15.patch,2,27,9
Chart,25,chart25_Seed3_r_20_15.patch,3,21,5
Chart,25,chart25_Seed3_r_20_15.patch,4,10,1
Chart,25,chart25_Seed3_r_20_15.patch,5,26,5
Chart,25,chart25_Seed3_r_20_15.patch,6,18,4
Chart,25,chart25_Seed3_r_20_15.patch,7,10,2
Chart,25,chart25_Seed3_r_20_15.patch,8,13,2
Chart,25,chart25_Seed3_r_20_15.patch,9,9,2
Chart,25,chart25_Seed3_r_20_15.patch,10,17,1
Chart,25,chart25_Seed5_r_20_2.patch,1,10,1
Chart,25,chart25_Seed5_r_20_2.patch,2,27,9
Chart,25,chart25_Seed5_r_20_2.patch,3,21,5
Chart,25,chart25_Seed5_r_20_2.patch,4,10,1
Chart,25,chart25_Seed5_r_20_2.patch,5,26,5
Chart,25,chart25_Seed5_r_20_2.patch,6,18,4
Chart,25,chart25_Seed5_r_20_2.patch,7,10,2
