Project,Bug,TSSeed,NumberOfTests,NumberOfFailingTests
chart,chart1,1,67,0
chart,chart1,2,73,1
chart,chart1,3,71,2
chart,chart1,4,78,2
chart,chart1,5,73,1
chart,chart1,6,67,1
chart,chart1,7,73,3
chart,chart1,8,73,2
chart,chart1,9,71,1
chart,chart1,10,67,0
chart,chart13,1,28,0
chart,chart13,2,28,0
chart,chart13,3,28,0
chart,chart13,4,28,0
chart,chart13,5,28,0
chart,chart13,6,28,0
chart,chart13,7,29,0
chart,chart13,8,29,0
chart,chart13,9,28,0
chart,chart13,10,29,0
chart,chart21,1,35,0
chart,chart21,2,34,0
chart,chart21,3,37,0
chart,chart21,4,35,0
chart,chart21,5,32,2
chart,chart21,6,34,1
chart,chart21,7,36,0
chart,chart21,8,36,0
chart,chart21,9,37,0
chart,chart21,10,37,1
chart,chart25,1,36,2
chart,chart25,2,22,2
chart,chart25,3,23,2
chart,chart25,4,14,0
chart,chart25,5,11,0
chart,chart25,6,20,0
chart,chart25,7,20,0
chart,chart25,8,17,0
chart,chart25,9,19,2
chart,chart25,10,14,2
chart,chart26,1,45,0
chart,chart26,2,46,0
chart,chart26,3,47,0
chart,chart26,4,57,0
chart,chart26,5,60,0
chart,chart26,6,48,0
chart,chart26,7,46,1
chart,chart26,8,46,0
chart,chart26,9,44,0
chart,chart26,10,48,0
chart,chart3,1,54,0
chart,chart3,2,55,0
chart,chart3,3,53,0
chart,chart3,4,54,0
chart,chart3,5,54,0
chart,chart3,6,54,0
chart,chart3,7,55,0
chart,chart3,8,54,0
chart,chart3,9,52,0
chart,chart3,10,52,0
chart,chart5,1,38,2
chart,chart5,2,38,1
chart,chart5,3,35,1
chart,chart5,4,32,2
chart,chart5,5,34,2
chart,chart5,6,34,0
chart,chart5,7,34,0
chart,chart5,8,36,2
chart,chart5,9,38,2
chart,chart5,10,35,0
chart,chart7,1,26,0
chart,chart7,2,25,0
chart,chart7,3,21,0
chart,chart7,4,21,0
chart,chart7,5,27,0
chart,chart7,6,24,0
chart,chart7,7,22,0
chart,chart7,8,24,0
chart,chart7,9,24,0
chart,chart7,10,25,0
closure,closure102,1,12,0
closure,closure102,2,12,0
closure,closure102,3,14,0
closure,closure102,4,13,0
closure,closure102,5,7,0
closure,closure102,6,10,0
closure,closure102,7,8,0
closure,closure102,8,13,0
closure,closure102,9,12,0
closure,closure102,10,13,0
closure,closure107,1,2,0
closure,closure107,2,5,0
closure,closure107,3,3,0
closure,closure107,4,2,0
closure,closure107,5,2,0
closure,closure107,6,3,0
closure,closure107,7,4,0
closure,closure107,8,3,0
closure,closure107,9,4,0
closure,closure107,10,2,0
closure,closure11,1,24,0
closure,closure11,2,25,0
closure,closure11,3,32,0
closure,closure11,4,29,0
closure,closure11,5,30,0
closure,closure11,6,30,0
closure,closure11,7,23,0
closure,closure11,8,23,0
closure,closure11,9,26,0
closure,closure11,10,36,0
closure,closure115,1,10,0
closure,closure115,2,11,0
closure,closure115,3,10,0
closure,closure115,4,18,0
closure,closure115,5,11,0
closure,closure115,6,10,0
closure,closure115,7,8,0
closure,closure115,8,13,0
closure,closure115,9,9,0
closure,closure115,10,8,0
closure,closure125,1,21,0
closure,closure125,2,18,0
closure,closure125,3,20,0
closure,closure125,4,31,0
closure,closure125,5,28,0
closure,closure125,6,27,0
closure,closure125,7,5,0
closure,closure125,8,5,0
closure,closure125,9,43,0
closure,closure125,10,34,0
closure,closure126,1,26,0
closure,closure126,2,12,0
closure,closure126,3,10,0
closure,closure126,4,11,0
closure,closure126,5,10,0
closure,closure126,6,12,0
closure,closure126,7,10,0
closure,closure126,8,13,0
closure,closure126,9,12,0
closure,closure126,10,11,0
closure,closure13,1,2,0
closure,closure13,2,3,0
closure,closure13,3,3,0
closure,closure13,4,3,0
closure,closure13,5,2,0
closure,closure13,6,3,0
closure,closure13,7,2,0
closure,closure13,8,3,0
closure,closure13,9,2,0
closure,closure13,10,3,0
closure,closure19,1,49,1
closure,closure19,2,49,1
closure,closure19,3,47,1
closure,closure19,4,51,1
closure,closure19,5,49,1
closure,closure19,6,51,1
closure,closure19,7,48,1
closure,closure19,8,50,1
closure,closure19,9,49,1
closure,closure19,10,50,1
closure,closure21,1,13,0
closure,closure21,2,10,1
closure,closure21,3,6,0
closure,closure21,4,5,0
closure,closure21,5,4,0
closure,closure21,6,4,0
closure,closure21,7,8,0
closure,closure21,8,7,0
closure,closure21,9,3,1
closure,closure21,10,6,0
closure,closure22,1,10,0
