Project,Bug,TSSeed,NumberOfTests,NumberOfFailingTests
chart,chart1,1,88,3
chart,chart1,2,85,0
chart,chart1,3,73,0
chart,chart1,4,82,1
chart,chart1,5,76,0
chart,chart1,6,83,1
chart,chart1,7,82,0
chart,chart1,8,69,1
chart,chart1,9,79,1
chart,chart1,10,77,1
chart,chart13,1,22,0
chart,chart13,2,22,0
chart,chart13,3,23,0
chart,chart13,4,22,0
chart,chart13,5,22,0
chart,chart13,6,22,0
chart,chart13,7,23,0
chart,chart13,8,22,0
chart,chart13,9,22,0
chart,chart13,10,21,0
chart,chart21,1,50,9
chart,chart21,2,49,4
chart,chart21,3,52,1
chart,chart21,4,55,1
chart,chart21,5,52,1
chart,chart21,6,55,0
chart,chart21,7,52,9
chart,chart21,8,50,2
chart,chart21,9,53,11
chart,chart21,10,51,0
chart,chart25,1,10,0
chart,chart25,2,27,2
chart,chart25,3,21,0
chart,chart25,4,10,0
chart,chart25,5,26,1
chart,chart25,6,18,2
chart,chart25,7,10,0
chart,chart25,8,13,0
chart,chart25,9,9,0
chart,chart25,10,17,0
chart,chart26,1,64,1
chart,chart26,2,60,1
chart,chart26,3,62,1
chart,chart26,4,59,1
chart,chart26,5,67,1
chart,chart26,6,62,1
chart,chart26,7,62,1
chart,chart26,8,66,1
chart,chart26,9,43,0
chart,chart26,10,62,1
chart,chart3,1,70,0
chart,chart3,2,71,0
chart,chart3,3,71,0
chart,chart3,4,68,0
chart,chart3,5,67,0
chart,chart3,6,69,0
chart,chart3,7,74,0
chart,chart3,8,70,0
chart,chart3,9,72,0
chart,chart3,10,69,0
chart,chart5,1,35,1
chart,chart5,2,37,2
chart,chart5,3,35,0
chart,chart5,4,37,0
chart,chart5,5,35,0
chart,chart5,6,37,0
chart,chart5,7,36,0
chart,chart5,8,37,2
chart,chart5,9,39,0
chart,chart5,10,41,2
chart,chart7,1,22,0
chart,chart7,2,25,0
chart,chart7,3,24,0
chart,chart7,4,22,0
chart,chart7,5,23,0
chart,chart7,6,24,0
chart,chart7,7,19,0
chart,chart7,8,25,0
chart,chart7,9,24,0
chart,chart7,10,22,0
closure,closure102,1,11,0
closure,closure102,2,8,0
closure,closure102,3,8,0
closure,closure102,4,8,0
closure,closure102,5,8,0
closure,closure102,6,13,0
closure,closure102,7,6,0
closure,closure102,8,6,0
closure,closure102,9,11,0
closure,closure102,10,7,0
closure,closure107,1,4,0
closure,closure107,2,5,0
closure,closure107,3,4,0
closure,closure107,4,5,0
closure,closure107,5,4,0
closure,closure107,6,4,0
closure,closure107,7,4,0
closure,closure107,8,5,0
closure,closure107,9,5,0
closure,closure107,10,4,0
closure,closure11,1,68,0
closure,closure11,2,12,0
closure,closure11,3,18,0
closure,closure11,4,89,0
closure,closure11,5,42,0
closure,closure11,6,14,0
closure,closure11,7,62,0
closure,closure11,8,45,0
closure,closure11,9,112,0
closure,closure11,10,95,0
closure,closure115,1,11,0
closure,closure115,2,8,0
closure,closure115,3,12,0
closure,closure115,4,7,0
closure,closure115,5,11,0
closure,closure115,6,10,0
closure,closure115,7,7,0
closure,closure115,8,9,0
closure,closure115,9,9,0
closure,closure115,10,9,0
closure,closure125,1,36,0
closure,closure125,2,108,0
closure,closure125,3,12,0
closure,closure125,4,14,0
closure,closure125,5,57,0
closure,closure125,6,55,0
closure,closure125,7,14,0
closure,closure125,8,11,0
closure,closure125,9,15,0
closure,closure125,10,94,0
closure,closure126,1,9,0
closure,closure126,2,13,0
closure,closure126,3,9,0
closure,closure126,4,13,0
closure,closure126,5,16,0
closure,closure126,6,14,0
closure,closure126,7,15,0
closure,closure126,8,15,0
closure,closure126,9,11,0
closure,closure126,10,9,0
closure,closure13,1,2,0
closure,closure13,2,3,0
closure,closure13,3,3,0
closure,closure13,4,4,0
closure,closure13,5,2,0
closure,closure13,6,4,0
closure,closure13,7,3,0
closure,closure13,8,4,0
closure,closure13,9,3,0
closure,closure13,10,3,0
closure,closure19,1,49,0
closure,closure19,2,48,1
closure,closure19,3,41,0
closure,closure19,4,43,0
closure,closure19,5,44,0
closure,closure19,6,48,0
closure,closure19,7,48,1
closure,closure19,8,43,0
closure,closure19,9,50,1
closure,closure19,10,51,0
closure,closure21,1,7,0
closure,closure21,2,6,0
closure,closure21,3,6,0
closure,closure21,4,5,0
closure,closure21,5,8,0
closure,closure21,6,6,0
closure,closure21,7,6,0
closure,closure21,8,6,0
closure,closure21,9,6,0
closure,closure21,10,8,0
closure,closure22,1,7,0
closure,closure22,2,7,0
closure,closure22,3,2,0
closure,closure22,4,6,0
closure,closure22,5,6,0
closure,closure22,6,9,0
closure,closure22,7,9,0
closure,closure22,8,6,0
closure,closure22,9,8,0
closure,closure22,10,9,0
closure,closure25,1,5,0
closure,closure25,2,39,0
closure,closure25,3,7,0
closure,closure25,4,8,0
closure,closure25,5,34,0
closure,closure25,6,84,0
closure,closure25,7,48,0
closure,closure25,8,8,0
closure,closure25,9,5,0
closure,closure25,10,65,0
closure,closure31,1,49,0
closure,closure31,2,102,0
closure,closure31,3,77,0
closure,closure31,4,92,0
closure,closure31,5,88,0
closure,closure31,6,69,0
closure,closure31,7,81,0
closure,closure31,8,84,0
closure,closure31,9,94,0
closure,closure31,10,98,0
closure,closure35,1,4,0
closure,closure35,2,68,0
closure,closure35,3,86,0
closure,closure35,4,37,0
closure,closure35,5,24,0
closure,closure35,6,55,0
closure,closure35,7,2,0
closure,closure35,8,7,0
closure,closure35,9,104,0
closure,closure35,10,2,0
closure,closure38,1,6,0
closure,closure38,2,6,0
closure,closure38,3,6,0
closure,closure38,4,6,0
closure,closure38,5,6,0
closure,closure38,6,6,0
closure,closure38,7,6,0
closure,closure38,8,6,0
closure,closure38,9,6,0
closure,closure38,10,6,0
closure,closure45,1,2,0
closure,closure45,2,2,0
closure,closure45,3,3,0
closure,closure45,4,4,0
closure,closure45,5,2,0
closure,closure45,6,3,0
closure,closure45,7,2,0
closure,closure45,8,6,0
closure,closure45,9,3,0
closure,closure45,10,3,0
closure,closure46,1,20,0
closure,closure46,2,18,0
closure,closure46,3,16,0
closure,closure46,4,17,0
closure,closure46,5,18,0
closure,closure46,6,19,0
closure,closure46,7,13,0
closure,closure46,8,20,0
closure,closure46,9,18,0
closure,closure46,10,21,0
closure,closure62,1,10,0
closure,closure62,2,9,0
closure,closure62,3,7,0
closure,closure62,4,7,0
closure,closure62,5,7,0
closure,closure62,6,7,0
closure,closure62,7,8,0
closure,closure62,8,8,0
closure,closure62,9,7,0
closure,closure62,10,7,0
closure,closure63,1,10,0
closure,closure63,2,9,0
closure,closure63,3,7,0
closure,closure63,4,7,0
closure,closure63,5,7,0
closure,closure63,6,10,0
closure,closure63,7,9,0
closure,closure63,8,7,0
closure,closure63,9,7,0
closure,closure63,10,9,0
closure,closure64,1,81,0
closure,closure64,2,85,0
closure,closure64,3,84,0
closure,closure64,4,37,0
closure,closure64,5,83,0
closure,closure64,6,80,0
closure,closure64,7,84,0
closure,closure64,8,85,0
closure,closure64,9,74,0
closure,closure64,10,101,0
closure,closure66,1,6,0
closure,closure66,2,57,0
closure,closure66,3,51,0
closure,closure66,4,32,0
closure,closure66,5,22,0
closure,closure66,6,79,0
closure,closure66,7,19,0
closure,closure66,8,74,0
closure,closure66,9,133,0
closure,closure66,10,66,0
closure,closure83,1,5,0
closure,closure83,2,5,0
closure,closure83,3,4,0
closure,closure83,4,4,0
closure,closure83,5,4,0
closure,closure83,6,4,0
closure,closure83,7,5,0
closure,closure83,8,5,0
closure,closure83,9,4,0
closure,closure83,10,5,0
closure,closure86,1,291,0
closure,closure86,2,264,0
closure,closure86,3,261,0
closure,closure86,4,276,0
closure,closure86,5,276,0
closure,closure86,6,296,0
closure,closure86,7,71,0
closure,closure86,8,259,0
closure,closure86,9,249,0
closure,closure86,10,283,0
lang,lang10,1,42,2
lang,lang10,2,42,0
lang,lang10,3,44,0
lang,lang10,4,47,1
lang,lang10,5,45,0
lang,lang10,6,49,0
lang,lang10,7,44,0
lang,lang10,8,42,0
lang,lang10,9,46,0
lang,lang10,10,45,0
lang,lang22,1,69,0
lang,lang22,2,65,0
lang,lang22,3,65,0
lang,lang22,4,68,0
lang,lang22,5,66,0
lang,lang22,6,68,0
lang,lang22,7,65,0
lang,lang22,8,67,0
lang,lang22,9,64,0
lang,lang22,10,64,0
lang,lang24,1,138,1
lang,lang24,2,132,1
lang,lang24,3,135,1
lang,lang24,4,137,1
lang,lang24,5,140,1
lang,lang24,6,135,1
lang,lang24,7,133,1
lang,lang24,8,135,1
lang,lang24,9,136,1
lang,lang24,10,136,1
lang,lang33,1,86,1
lang,lang33,2,86,2
lang,lang33,3,83,1
lang,lang33,4,80,1
lang,lang33,5,84,1
lang,lang33,6,84,1
lang,lang33,7,83,2
lang,lang33,8,84,2
lang,lang33,9,83,1
lang,lang33,10,86,1
lang,lang39,1,198,1
lang,lang39,2,414,2
lang,lang39,3,312,1
lang,lang39,4,404,1
lang,lang39,5,406,2
lang,lang39,6,415,2
lang,lang39,7,414,2
lang,lang39,8,407,2
lang,lang39,9,408,1
lang,lang39,10,408,2
lang,lang43,1,15,1
lang,lang43,2,13,2
lang,lang43,3,12,4
lang,lang43,4,13,2
lang,lang43,5,14,4
lang,lang43,6,14,4
lang,lang43,7,11,3
lang,lang43,8,13,1
lang,lang43,9,13,5
lang,lang43,10,15,1
lang,lang44,1,73,0
lang,lang44,2,75,1
lang,lang44,3,72,0
lang,lang44,4,71,1
lang,lang44,5,71,0
lang,lang44,6,72,0
lang,lang44,7,73,0
lang,lang44,8,74,0
lang,lang44,9,73,0
lang,lang44,10,69,0
lang,lang45,1,33,1
lang,lang45,2,35,1
lang,lang45,3,34,1
lang,lang45,4,32,2
lang,lang45,5,33,1
lang,lang45,6,33,1
lang,lang45,7,31,1
lang,lang45,8,34,1
lang,lang45,9,36,2
lang,lang45,10,32,1
lang,lang51,1,107,0
lang,lang51,2,111,0
lang,lang51,3,107,0
lang,lang51,4,109,0
lang,lang51,5,115,0
lang,lang51,6,112,0
lang,lang51,7,109,0
lang,lang51,8,111,0
lang,lang51,9,115,0
lang,lang51,10,109,0
lang,lang58,1,165,0
lang,lang58,2,160,1
lang,lang58,3,161,1
lang,lang58,4,160,1
lang,lang58,5,161,1
lang,lang58,6,154,1
lang,lang58,7,162,1
lang,lang58,8,159,1
lang,lang58,9,162,0
lang,lang58,10,159,1
lang,lang59,1,108,0
lang,lang59,2,139,0
lang,lang59,3,189,0
